"age",1종 대형_19,1종 보통_19,2종 보통_19,2종 소형_19,1종 대형_20,1종 보통_20,2종 보통_20,2종 소형_20,1종 대형_21,1종 보통_21,2종 보통_21,2종 소형_21,1종 대형_22,1종 보통_22,2종 보통_22,2종 소형_22,1종 대형_23,1종 보통_23,2종 보통_23,2종 소형_23
"19세",613,115990,102608,208,729,112365,109397,180,768,106683,99210,175,640,105295,101140,237,624,90514,94918,298
"20세",2705,134752,133834,216,3096,143684,156613,243,3240,135929,155273,238,2620,124907,135071,220,2574,120853,133672,269
"21세",7257,154324,169976,166,7723,148759,175292,264,8676,159151,200219,325,7482,144951,184374,299,7018,131101,157764,262
"22세",12519,184407,208031,213,12819,165957,208607,214,13481,161308,216097,346,13384,168627,234177,374,11987,150207,208163,360
"23세",15415,202303,234212,277,16137,192664,241373,301,16490,175479,245633,305,16086,168333,246654,352,16130,173977,260923,438
"24세",18814,225200,257384,263,18264,208872,263078,344,19121,198728,272085,355,18552,180614,271301,361,17878,172327,269016,416
"25세",21457,246015,270081,263,21487,230108,283466,330,20958,213853,290082,397,21047,202551,294686,414,20208,183975,291151,414
"26세",23784,266031,274176,244,23970,249077,291867,310,24027,233467,307248,371,22684,216496,309775,446,22614,204782,312375,440
"27세",25870,290457,278348,265,25989,267579,291873,293,26266,251065,311342,362,25669,235247,324420,418,24187,218005,325148,467
"28세",26529,290923,275874,224,28045,291295,293997,292,28011,268222,308150,328,27851,251813,326613,390,27038,236134,338188,447
"29세",24915,280003,252991,181,28548,291220,288561,249,29937,291474,308041,328,29446,268364,320738,342,29182,251993,338906,390
"30세",24926,283855,252410,184,26588,280108,262657,202,30241,291199,300348,266,31312,291196,319142,352,30619,268025,331139,361
"31세",24804,295800,245012,162,26404,283771,260536,202,28070,279897,271914,231,31472,290777,309799,296,32461,290841,328616,364
"32세",25167,300253,239530,148,26125,295667,252035,184,27721,283240,268347,206,29151,279564,279666,244,32592,290340,317979,316
"33세",26834,318172,233116,158,26398,300034,245632,158,27322,295163,258846,197,28645,282848,275049,211,30155,278983,286549,264
"34세",30047,341734,229488,172,28092,317697,238424,172,27480,299518,251488,178,28257,294624,264700,206,29627,282184,281034,225
"35세",31209,359065,221926,157,31310,341256,233959,173,29219,316995,243455,191,28316,299083,256800,179,29195,293974,269935,193
"36세",38869,418070,235438,176,32485,358596,225802,161,32466,340447,238306,192,30170,316260,247900,202,29244,298263,261598,191
"37세",44991,468496,247153,173,40301,417799,238711,183,33617,357783,229571,167,33423,339756,242310,206,31143,315395,251953,205
"38세",48111,484801,243433,183,46465,468213,249927,187,41603,416795,242274,201,34582,357064,232748,172,34370,338866,245947,207
"39세",49802,485081,238411,180,49557,484485,245610,182,47811,466986,253248,192,42610,416056,245141,199,35606,356160,235898,181
